Id,SalePrice
1461,115631.74827159765
1462,150545.58432060695
1463,171465.91452363975
1464,177785.33286624934
1465,193281.04399283556
1466,182164.73558371095
1467,170822.57123578605
1468,176305.505463809
1469,180509.8097027508
1470,117276.41148007677
1471,181411.48854255996
1472,100640.78562151699
1473,100477.44196503225
1474,147880.74724043685
1475,146663.0969737968
1476,391322.24122889916
1477,227213.93449917113
1478,311555.19627409085
1479,287825.4647303058
1480,411134.5325637806
1481,310393.3821299086
1482,223511.20069532003
1483,175559.02389708717
1484,163299.03408245853
1485,166114.7723212704
1486,208993.60606705322
1487,339201.37851189607
1488,253815.5739772574
1489,189381.6325618286
1490,196565.93318526875
1491,193604.1805955498
1492,105573.0515323249
1493,160946.86239882754
1494,287976.2368827181
1495,283575.4766653951
1496,218801.04474769867
1497,210202.43687064422
1498,152934.4085930223
1499,152934.4085930223
1500,163856.86686126285
1501,174151.85949547615
1502,148595.47385074024
1503,256030.20737294265
1504,213582.55292474016
1505,218405.39824821267
1506,195834.16156682104
1507,232872.30193693758
1508,193884.33615561508
1509,171214.4496550212
1510,125410.97913728404
1511,142767.34190874957
1512,155300.3906811373
1513,151557.50647170845
1514,137524.63067260798
1515,160853.37885785796
1516,135032.79832843938
1517,145692.9036124767
1518,142075.28348970108
1519,199445.61574019754
1520,138757.0682284232
1521,143680.82635124412
1522,151800.9645583489
1523,125754.9482608818
1524,125874.5669409049
1525,130349.75034136749
1526,133613.1628940813
1527,93394.11961114417
1528,121277.52652967614
1529,146898.9847321193
1530,158571.73241415864
1531,111100.81071540948
1532,105909.0403666762
1533,140157.47488014953
1534,113896.60382223806
1535,135319.09054815158
1536,109170.06807786824
1537,70884.21599009338
1538,156340.50882531583
1539,151205.7439313831
1540,123063.57891777497
1541,128845.3607200638
1542,144221.13377704832
1543,208199.7121259452
1544,91981.33896948269
1545,117065.45561298782
1546,118109.3791975209
1547,134744.21280651382
1548,135136.9800028829
1549,95681.22929443925
1550,139174.04121689548
1551,116270.2372657314
1552,115185.42784700173
1553,125492.23882977807
1554,111584.7469291163
1555,186646.80187781338
1556,127619.56173687761
1557,133158.59131069953
1558,106199.44120142364
1559,129502.929947978
1560,134659.00892633843
1561,156307.0242302143
1562,105286.89357855091
1563,92971.13480135526
1564,158524.19623089998
1565,143879.96851415173
1566,211313.3378018504
1567,91881.91924599446
1568,197293.7989049499
1569,112149.38643998295
1570,112548.1254087821
1571,111666.22378242663
1572,128629.37850033418
1573,198124.49280247124
1574,128518.03699259362
1575,195981.2416989867
1576,192480.12225762074
1577,195390.87604986236
1578,128697.60745138983
1579,137702.11984191314
1580,195387.49296073132
1581,139542.41575946868
1582,123119.448526079
1583,282533.4331877657
1584,236189.56401754695
1585,143399.55847475686
1586,80409.87399409596
1587,100467.4605569186
1588,144796.93652036972
1589,108166.1283793377
1590,126276.64515042289
1591,108832.71194510403
1592,122625.63745451899
1593,112537.17861806044
1594,143211.87587841004
1595,135390.76791387788
1596,263116.2291092231
1597,174288.26770642496
1598,183890.2118920943
1599,171263.6260106136
1600,189148.03215647957
1601,49095.04542344273
1602,99489.54933732175
1603,85540.19622894052
1604,276853.8495623501
1605,232029.47141038402
1606,164908.93719608587
1607,197785.27502069384
1608,193165.96714912442
1609,190996.3811910543
1610,165445.35916833155
1611,145995.5533640124
1612,173891.32491366612
1613,163423.93249661668
1614,114383.7643342189
1615,87145.19987121175
1616,87145.19987121175
1617,80369.70094591418
1618,127567.56385060011
1619,125056.17424387873
1620,189900.91374623094
1621,138725.1653084376
1622,145807.36761050657
1623,254175.7839952565
1624,185504.26527974426
1625,120814.06000214448
1626,162394.48536177384
1627,179858.79188906954
1628,241592.94645317693
1629,174620.9291017878
1630,383842.3394898743
1631,249259.76379246617
1632,264128.5843005082
1633,169234.46212581778
1634,182044.3072730949
1635,174525.5488921032
1636,170152.13023595643
1637,172720.7267967247
1638,199083.14408337357
1639,185938.27065363235
1640,245746.41268646723
1641,184877.91936538147
1642,234426.4512633483
1643,232826.21709982262
1644,214833.77977205574
1645,160920.03782500923
1646,158467.66506989644
1647,159871.13252929682
1648,149770.28255423973
1649,138389.87790235924
1650,119119.16275513699
1651,104816.56539132024
1652,98806.52317766829
1653,96991.76035158634
1654,153719.48042333042
1655,154120.1527725731
1656,147472.40232568633
1657,155504.37075447338
1658,148733.46213159422
1659,146842.32482508407
1660,136802.26301289702
1661,417843.15304200223
1662,394788.08622979047
1663,372173.1189618831
1664,436983.4519780412
1665,361523.0686874148
1666,290081.592381026
1667,319218.40128414455
1668,362382.0189149284
1669,273358.45943241846
1670,354483.34339197475
